Time,u1,y1,y2,x1,x2,x3
11300,15381150,15390512,1023.388610839844,15390468,0.7070796489715576,581.3257446289063
11310,15371833,15381194,1023.233093261719,15381150,0.7069597244262695,581.2271728515625
11320,15362515,15371877,1023.07763671875,15371833,0.7068398594856262,581.1286010742188
11330,15353198,15362559,1022.922119140625,15362515,0.7067199945449829,581.030029296875
11340,15343880,15353242,1022.7666015625,15353198,0.7066000699996948,580.9315185546875
11350,15334563,15343924,1022.611083984375,15343880,0.7064802050590515,580.8329467773438
11360,15325245,15334606,1022.45556640625,15334563,0.7063603401184082,580.734375
11370,15315927,15325289,1022.299987792969,15325245,0.7062404155731201,580.6358032226563
11380,15306610,15315971,1022.144470214844,15315927,0.7061205506324768,580.5372314453125
11390,15297292,15306654,1021.988952636719,15306610,0.7060006856918335,580.4386596679688
11400,15287975,15297336,1021.833374023438,15297292,0.7058808207511902,580.340087890625
11410,15278657,15288018,1021.677856445313,15287975,0.7057608962059021,580.2415771484375
11420,15269339,15278701,1021.522277832031,15278657,0.7056410312652588,580.1430053710938
11430,15260022,15269383,1021.36669921875,15269339,0.7055211663246155,580.04443359375
11440,15250704,15260066,1021.211181640625,15260022,0.7054012417793274,579.9458618164063
11450,15241387,15250748,1021.055603027344,15250704,0.7052813768386841,579.8472900390625
11460,15232069,15241431,1020.900024414063,15241387,0.7051615118980408,579.7487182617188
11470,15222752,15232113,1020.744445800781,15232069,0.7050416469573975,579.6502075195313
11480,15213434,15222795,1020.5888671875,15222752,0.7049217224121094,579.5516357421875
11490,15204116,15213478,1020.433288574219,15213434,0.7048018574714661,579.4530639648438
11500,15194799,15204160,1020.277709960938,15204116,0.7046819925308228,579.3544921875
11510,15185481,15194843,1020.1220703125,15194799,0.7045620679855347,579.2559204101563
11520,15176164,15185525,1019.966491699219,15185481,0.7044422030448914,579.1574096679688
11530,15166846,15176207,1019.810852050781,15176164,0.704322338104248,579.058837890625
11540,15157528,15166890,1019.6552734375,15166846,0.7042024731636047,578.9602661132813
11550,15148211,15157572,1019.499633789063,15157528,0.7040825486183167,578.8616943359375
11560,15138893,15148255,1019.344055175781,15148211,0.7039626836776733,578.7631225585938
11570,15129576,15138937,1019.188415527344,15138893,0.70384281873703,578.6646118164063
11580,15120258,15129619,1019.032775878906,15129576,0.7037229537963867,578.5660400390625
11590,15110941,15120302,1018.877136230469,15120258,0.7036030292510986,578.4674682617188
11600,15101623,15110984,1018.721496582031,15110941,0.7034831643104553,578.368896484375
11610,15092305,15101667,1018.565856933594,15101623,0.703363299369812,578.2703247070313
11620,15082988,15092349,1018.410217285156,15092305,0.7032434344291687,578.1718139648438
11630,15073670,15083032,1018.254577636719,15082988,0.7031235098838806,578.0732421875
11640,15064353,15073714,1018.098876953125,15073670,0.7030036449432373,577.9746704101563
11650,15055035,15064396,1017.943237304688,15064353,0.702883780002594,577.8760986328125
11660,15045717,15055079,1017.78759765625,15055035,0.7027639150619507,577.777587890625
11670,15036400,15045761,1017.631896972656,15045717,0.7026440501213074,577.6790161132813
11680,15027082,15036444,1017.476196289063,15036400,0.7025241255760193,577.5804443359375
11690,15017765,15027126,1017.320556640625,15027082,0.702404260635376,577.4818725585938
11700,15008447,15017808,1017.164855957031,15017765,0.7022843956947327,577.3833618164063
11710,14999129,15008491,1017.009155273438,15008447,0.7021645307540894,577.2847900390625
11720,14989812,14999173,1016.853454589844,14999129,0.702044665813446,577.1862182617188
11730,14980494,14989856,1016.69775390625,14989812,0.701924741268158,577.087646484375
11740,14971177,14980538,1016.542053222656,14980494,0.7018048763275146,576.9891357421875
11750,14961859,14971221,1016.386352539063,14971177,0.7016850113868713,576.8905639648438
11760,14952542,14961903,1016.230651855469,14961859,0.701565146446228,576.7919921875
11770,14943224,14952585,1016.074951171875,14952542,0.7014452815055847,576.6934204101563
11780,14933906,14943268,1015.919189453125,14943224,0.7013254165649414,576.5949096679688
11790,14924589,14933950,1015.763488769531,14933906,0.7012054920196533,576.496337890625
11800,14915271,14924633,1015.607727050781,14924589,0.70108562707901,576.3977661132813
